Ngày,Cá nhân trong nước,,,,,,Cá nhân nước ngoài,,,,,,Tổ chức trong nước,,,,,,Tổ chức nước ngoài,,,,,,Cá nhân trong nước (khớp lệnh + thỏa thuận),,,,,,,,Cá nhân nước ngoài (khớp lệnh + thỏa thuận),,,,,,,,Tổ chức trong nước (khớp lệnh + thỏa thuận),,,,,,,,Tổ chức nước ngoài (khớp lệnh + thỏa thuận),,,,,,,,Cá nhân trong nước (Ròng),,,,Cá nhân nước ngoài (Ròng),,,,Tổ chức trong nước (Ròng),,,,Tổ chức nước ngoài (Ròng),,,
,Tổng KL mua (CP),Tổng GT mua (nghìn VND),Tổng KL bán (CP),Tổng GT bán (nghìn VND),Tổng KL ròng (CP),Tổng GT ròng (nghìn VND),Tổng KL mua (CP),Tổng GT mua (nghìn VND),Tổng KL bán (CP),Tổng GT bán (nghìn VND),Tổng KL ròng (CP),Tổng GT ròng (nghìn VND),Tổng KL mua (CP),Tổng GT mua (nghìn VND),Tổng KL bán (CP),Tổng GT bán (nghìn VND),Tổng KL ròng (CP),Tổng GT ròng (nghìn VND),Tổng KL mua (CP),Tổng GT mua (nghìn VND),Tổng KL bán (CP),Tổng GT bán (nghìn VND),Tổng KL ròng (CP),Tổng GT ròng (nghìn VND),KL mua khớp lệnh (CP),GT mua khớp lệnh (nghìn VND),KL bán khớp lệnh (CP),GT bán khớp lệnh (nghìn VND),KL mua thỏa thuận (CP),GT mua thỏa thuận (nghìn VND),KL bán thỏa thuận (CP),GT bán thỏa thuận (nghìn VND),KL mua khớp lệnh (CP),GT mua khớp lệnh (nghìn VND),KL bán khớp lệnh (CP),GT bán khớp lệnh (nghìn VND),KL mua thỏa thuận (CP),GT mua thỏa thuận (nghìn VND),KL bán thỏa thuận (CP),GT bán thỏa thuận (nghìn VND),KL mua khớp lệnh (CP),GT mua khớp lệnh (nghìn VND),KL bán khớp lệnh (CP),GT bán khớp lệnh (nghìn VND),KL mua thỏa thuận (CP),GT mua thỏa thuận (nghìn VND),KL bán thỏa thuận (CP),GT bán thỏa thuận (nghìn VND),KL mua khớp lệnh (CP),GT mua khớp lệnh (nghìn VND),KL bán khớp lệnh (CP),GT bán khớp lệnh (nghìn VND),KL mua thỏa thuận (CP),GT mua thỏa thuận (nghìn VND),KL bán thỏa thuận (CP),GT bán thỏa thuận (nghìn VND),KL ròng khớp lệnh (CP),GT ròng khớp lệnh (nghìn VND),KL ròng thỏa thuận (CP),GT ròng thỏa thuận (nghìn VND),KL ròng khớp lệnh (CP),GT ròng khớp lệnh (nghìn VND),KL ròng thỏa thuận (CP),GT ròng thỏa thuận (nghìn VND),KL ròng khớp lệnh (CP),GT ròng khớp lệnh (nghìn VND),KL ròng thỏa thuận (CP),GT ròng thỏa thuận (nghìn VND),KL ròng khớp lệnh (CP),GT ròng khớp lệnh (nghìn VND),KL ròng thỏa thuận (CP),GT ròng thỏa thuận (nghìn VND)
11-10-2024,404396987,10505893555.906,386601908,10059672208.821,17795079,446221347.085,1100561,43539976.9,1025463,38272556.8,75098,5267420.1,37126100,1142609837.668,42590393,1281563580.539,-5464293,-138953742.871,46868375,1496295445.5,59274259,1808830469.797,-12405884,-312535024.297,371904022,9590346503.205,364506788,9598151156.471,32492965,915547052.699,22095120,461521052.35,950561,41637226.9,1025463,38272556.8,150000,1902750.0,0,0.0,30434100,998157437.668,34520933,1059971756.689,6692000,144452400.0,8069460,221591823.85,34336675,1294609522.7,37572174,1228355220.498,12531700,201685922.8,21702085,580475249.3,7397234,-7804653.266,10397845,454026000.349,-74902,3364670.1,150000,1902750.0,-4086833,-61814319.021,-1377460,-77139423.85,-3235499,66254302.202,-9170385,-378789326.5
10-10-2024,530611334,14282918261.784,554421173,15006192118.671,-23809839,-723273856.887,1764491,42524493.75,1063317,44481298.45,701174,-1956804.7,71862445,1978170231.018,51022144,1757908924.16,20840301,220261306.858,49443044,2114645790.03,47174680,1609676435.298,2268364,504969354.732,500365480,13566428038.874,512186469,14092843019.821,30245854,716490222.907,42234704,913349098.849,1764491,42524493.75,1063317,44481298.45,0,0.0,0,0.0,56639545,1675291131.018,42458503,1547327337.0,15222900,302879100.0,8563641,210581587.16,40121744,1847592442.53,43182971,1447184450.897,9321300,267053347.5,3991709,162491984.4,-11820989,-526414980.947,-11988850,-196858875.942,701174,-1956804.7,0,0.0,14181042,127963794.018,6659259,92297512.84,-3061227,400407991.633,5329591,104561363.1
09-10-2024,487768539,12864683600.745,487573720,12935992720.864,194819,-71309120.119,1660760,46634931.65,769120,27996080.15,891640,18638851.5,62000345,1897482716.609,58120418,1779903482.39,3879927,117579234.219,64655009,2229972997.85,69621395,2294881963.45,-4966386,-64908965.6,469513929,12299998358.947,471825385,12448078518.266,18254610,564685241.798,15748335,487914202.599,1660760,46634931.65,769120,27996080.15,0,0.0,0,0.0,51842345,1625308066.609,46808622,1462021095.64,10158000,272174650.0,11311796,317882386.75,59523309,2016681759.65,63137216,2050527422.8,5131700,213291238.2,6484179,244354540.65,-2311456,-148080159.319,2506275,76771039.199,891640,18638851.5,0,0.0,5033723,163286970.969,-1153796,-45707736.75,-3613907,-33845663.15,-1352479,-31063302.45
08-10-2024,534032404,12983452007.965,529767322,12968456239.949,4265082,14995768.016,814023,31727845.93,545337,18499935.139,268686,13227910.791,40299187,1244887868.24,45429843,1143857419.299,-5130656,101030448.941,45379698,1437358532.15,44782810,1566612659.887,596888,-129254127.737,509649135,12434360216.756,513811046,12477866617.899,24383269,549091791.208,15956276,490589622.05,814023,31727845.93,545337,18499935.139,0,0.0,0,0.0,37756395,1119263895.04,34871220,1014023456.189,2542792,125623973.2,10558623,129833963.11,43957298,1350534870.15,42949248,1425496818.637,1422400,86823662.0,1833562,141115841.25,-4161911,-43506401.143,8426993,58502169.158,268686,13227910.791,0,0.0,2885175,105240438.851,-8015831,-4209989.91,1008050,-74961948.487,-411162,-54292179.25
07-10-2024,410075264,9650322499.843,392199115,9322870102.047,17876149,327452397.796,1647304,60048465.71,1947336,45709324.67,-300032,14339141.04,41291490,1266853202.1,41453344,1257003849.478,-161854,9849352.622,24140645,830620445.6,41554908,1182261337.05,-17414263,-351640891.45,382270560,9096008091.442,356541727,8500584581.494,27804704,554314408.398,35657388,822285520.55,1607304,59288465.71,1947336,45709324.67,40000,760000.0,0,0.0,24860790,774970787.1,32759128,1030941896.629,16430700,491882415.0,8694216,226061952.85,23008345,769258690.6,40498808,1122290232.05,1132300,61361755.0,1056100,59971105.0,25728833,595423509.948,-7852684,-267971112.152,-340032,13579141.04,40000,760000.0,-7898338,-255971109.529,7736484,265820462.15,-17490463,-353031541.45,76200,1390650.0
04-10-2024,477186765,11228028664.961,472767375,11086995830.887,4419390,141032834.074,869713,21368822.45,777682,18235455.95,92031,3133366.5,49189385,1505515421.708,36565236,1073827682.288,12624149,431687739.42,30861071,946952741.45,47996641,1522806681.429,-17135570,-575853939.979,441087599,10369193697.564,443749195,10502570684.787,36099166,858834967.399,29018180,584425146.099,869713,21368822.45,777682,18235455.95,0,0.0,0,0.0,46406385,1403356953.708,32749250,951157600.988,2783000,102158468.0,3815986,122670081.3,28475071,868031991.45,39562641,1189987723.429,2386000,78920750.0,8434000,332818958.0,-2661596,-133376987.223,7080986,274409821.3,92031,3133366.5,0,0.0,13657135,452199352.72,-1032986,-20511613.3,-11087570,-321955731.979,-6048000,-253898208.0
03-10-2024,817864153,18774940992.405,843774549,19762654213.307,-25910396,-987713220.902,1787849,48108390.85,1330418,38183413.95,457431,9924976.9,89663249,2669343175.729,72609831,2255462982.679,17053418,413880193.05,53962044,1725560958.199,45562497,1161652907.249,8399547,563908050.95,802972187,18204118864.839,819665094,18928691190.007,14891966,570822127.57,24109455,833963023.3,1787849,48108390.85,1330418,38183413.95,0,0.0,0,0.0,71736174,2040125133.229,63877234,1887050094.66,17927075,629218042.5,8732597,368412888.02,52828744,1696154756.199,44452208,1134582446.499,1133300,29406202.0,1110289,27070460.75,-16692907,-724572325.168,-9217489,-263140895.73,457431,9924976.9,0,0.0,7858940,153075038.569,9194478,260805154.48,8376536,561572309.7,23011,2335741.25
02-10-2024,595732753,14105077392.557,624563683,15127810885.297,-28830930,-1022733492.74,777274,19600201.15,1348929,32343978.9,-571655,-12743777.75,74783962,2234855955.15,46866648,1469701215.72,27917314,765154739.43,38008058,1344501586.7,36522787,1074179055.649,1485271,270322531.051,538027342,12581932389.097,543519095,12782305461.693,57705411,1523145003.459,81044588,2345505423.6,777274,19600201.15,1348929,32343978.9,0,0.0,0,0.0,43777862,1215498060.05,38904507,1182035100.36,31006100,1019357895.1,7962141,287666115.36,33366258,1089783559.699,32176205,910129669.049,4641800,254718027.0,4346582,164049386.6,-5491753,-200373072.596,-23339177,-822360420.141,-571655,-12743777.75,0,0.0,4873355,33462959.69,23043959,731691779.74,1190053,179653890.65,295218,90668640.4
01-10-2024,777991403,18125001798.089,788056083,18849596987.55,-10064680,-724595189.461,1454857,42443711.15,1313224,39503293.129,141633,2940418.021,58342353,1788126945.118,63962615,1753107202.229,-5620262,35019742.889,54971510,1870223170.299,39428201,1183588141.748,15543309,686635028.551,725223663,16848275597.789,749660363,17800742777.08,52767740,1276726200.299,38395720,1048854210.47,1454857,42443711.15,1313224,39503293.129,0,0.0,0,0.0,52346353,1600083845.118,43662595,1337882312.399,5996000,188043100.0,20300020,415224889.83,53998810,1826439670.799,38387501,1139114442.248,972700,43783499.5,1040700,44473699.5,-24436700,-952467179.291,14372020,227871989.829,141633,2940418.021,0,0.0,8683758,262201532.719,-14304020,-227181789.83,15611309,687325228.551,-68000,-690200.0
30-09-2024,621168715,13878917349.416,595532836,13442117168.664,25635879,436800180.752,1127279,24939565.62,2557315,79640706.3,-1430036,-54701140.68,31454644,965448041.899,35663654,898720036.82,-4209010,66728005.079,37962269,1391643199.999,57959102,1840470245.147,-19996833,-448827045.148,570224522,12846665649.626,546886206,12460814753.561,50944193,1032251699.79,48646630,981302415.099,1127279,24939565.62,2557315,79640706.3,0,0.0,0,0.0,28915144,904570016.899,32511581,820981429.43,2539500,60878025.0,3152073,77738607.39,36315069,1311120719.8,54626912,1725859062.648,1647200,80522480.199,3332190,114611182.499,23338316,385850896.065,2297563,50949284.691,-1430036,-54701140.68,0,0.0,-3596437,83588587.469,-612573,-16860582.39,-18311843,-414738342.848,-1684990,-34088702.3
27-09-2024,754791822,17832486939.994,760490110,18198313309.779,-5698288,-365826369.785,1603610,32451751.95,1891110,55305898.1,-287500,-22854146.15,61604117,1635935245.019,62727775,1520108139.9,-1123658,115827105.119,69429893,2028490266.708,62320447,1755636855.899,7109446,272853410.809,706048714,16191126683.252,721203207,16669855723.879,48743108,1641360256.74,39286903,1528457585.9,1583610,29751751.95,1891110,55305898.1,20000,2700000.0,0,0.0,44277517,1252629906.219,36773570,1037403319.06,17326600,383305338.8,25954205,482704820.84,59618793,1790255596.708,51660747,1501198997.099,9811100,238234670.0,10659700,254437858.8,-15154493,-478729040.627,9456205,112902670.84,-307500,-25554146.15,20000,2700000.0,7503947,215226587.159,-8627605,-99399482.04,7958046,289056599.609,-848600,-16203188.8
26-09-2024,719838960,16636548503.704,777967326,18364109214.996,-58128366,-1727560711.292,1487392,39818272.64,1957383,69889192.82,-469991,-30070920.18,93195558,2563662221.799,62891600,1794204898.079,30303958,769457323.72,81219842,2524482842.199,52925443,1536308534.45,28294399,988174307.749,681127542,15781472506.355,744339375,17651243584.296,38711418,855075997.347,33627951,712865630.7,1487392,39818272.64,1857383,62169192.82,0,0.0,100000,7720000.0,74570658,2072172881.799,39251396,1144101318.53,18624900,491489340.0,23640204,650103579.55,71587142,2194088945.797,43324580,1230038510.95,9632700,330393896.4,9600863,306270023.499,-63211833,-1869771077.941,5083467,142210366.647,-369991,-22350920.18,-100000,-7720000.0,35319262,928071563.269,-5015304,-158614239.55,28262562,964050434.847,31837,24123872.901
25-09-2024,777213853,18408506461.358,793627350,18582808438.337,-16413497,-174301976.979,1830580,57494443.05,1715353,40530532.99,115227,16963910.06,77252007,2018692592.187,79303185,2370305777.12,-2051178,-351613184.933,74433955,2275813294.85,56084507,1766862042.999,18349448,508951251.851,709233805,16763440349.239,727051483,17043952296.365,67980048,1645066112.12,66575867,1538856141.97,1830580,57494443.05,1715353,40530532.99,0,0.0,0,0.0,64941407,1749879320.187,65470342,1956863669.07,12310600,268813272.0,13832843,413442108.049,65954955,1982613798.85,47723569,1512081412.899,8479000,293199496.0,8360938,254780630.1,-17817678,-280511947.126,1404181,106209970.15,115227,16963910.06,0,0.0,-528935,-206984348.883,-1522243,-144628836.049,18231386,470532385.951,118062,38418865.9
24-09-2024,619768783,14132079248.106,425854978,10921830563.561,193913805,3210248684.545,1988453,59004919.05,3578681,49410338.8,-1590228,9594580.25,102569256,2320393216.71,154430398,3099233428.0,-51861142,-778840211.29,50396872,1386351101.698,190859307,3827354155.198,-140462435,-2441003053.5,380991542,9495624013.457,389221998,9837181571.411,238777241,4636455234.649,36632980,1084648992.149,1888453,50604919.05,978681,21590338.8,100000,8400000.0,2600000,27820000.0,33684556,945160716.71,25007457,762833749.9,68884700,1375232500.0,129422941,2336399678.099,34388372,1074373370.898,35744787,944157359.998,16008500,311977730.8,155114520,2883196795.199,-8230456,-341557557.954,202144261,3551806242.5,909772,29014580.25,-2500000,-19420000.0,8677099,182326966.81,-60538241,-961167178.099,-1356415,130216010.9,-139106020,-2571219064.399
23-09-2024,429008947,10175801895.184,416641918,9940816149.427,12367029,234985745.757,1684971,44896931.4,604696,16504044.5,1080275,28392886.9,53822822,1258695809.248,67562964,1709231034.91,-13740142,-450535225.662,40915774,1405157018.848,40622936,1218000425.85,292838,187156592.998,353892041,8582729682.549,347279318,8520218838.965,75116906,1593072212.63,69362600,1420597310.46,1684971,44896931.4,604696,16504044.5,0,0.0,0,0.0,27075325,701276781.449,32738258,899392932.739,26747497,557419027.8,34824706,809838102.17,34285574,1108585368.848,36315639,1001372948.05,6630200,296571650.0,4307297,216627477.8,6612723,62510843.584,5754306,172474902.17,1080275,28392886.9,0,0.0,-5662933,-198116151.29,-8077209,-252419074.37,-2030065,107212420.798,2322903,79944172.2
20-09-2024,675245256,17169556318.236,650690603,16572420486.962,24554653,597135831.274,1973628,52869464.3,1870470,38113895.8,103158,14755568.5,58539633,1675480615.797,67516750,1968580040.77,-8977117,-293099424.973,95662919,2880019919.6,111343613,3198811894.408,-15680694,-318791974.808,630403426,15856523312.738,625047383,15738885606.814,44841830,1313033005.499,25643220,833534880.15,1973628,52869464.3,1870470,38113895.8,0,0.0,0,0.0,56238633,1594621073.997,45191470,1366391429.52,2301000,80859541.8,22325280,602188611.25,84973119,2512556441.8,101479483,2873179360.709,10689800,367463477.8,9864130,325632533.7,5356043,117637705.924,19198610,479498125.349,103158,14755568.5,0,0.0,11047163,228229644.477,-20024280,-521329069.45,-16506364,-360622918.909,825670,41830944.1
19-09-2024,470773347,11152519811.342,422408165,10835873134.657,48365182,316646676.685,630785,17353996.75,1582979,38648849.8,-952194,-21294853.05,48745343,1347752593.29,108809094,2135834139.47,-60063751,-788081546.18,53692885,1750270949.65,41042122,1257541227.109,12650763,492729722.541,355804297,9131683433.96,383362795,9939342620.955,114969050,2020836377.379,39045370,896530513.7,630785,17353996.75,1463979,36316449.8,0,0.0,119000,2332400.0,42477143,1212245633.29,27740708,905863146.69,6268200,135506960.0,81068386,1229970992.78,45206685,1611909934.65,31551428,1091670781.209,8486200,138361015.0,9490694,165870445.9,-27558498,-807659186.995,75923680,1124305863.679,-833194,-18962453.05,-119000,-2332400.0,14736435,306382486.6,-74800186,-1094464032.78,13655257,520239153.441,-1004494,-27509430.9
18-09-2024,651897124,15376408967.258,560973304,14300962454.179,90923820,1075446513.079,684924,19989918.6,3111919,80776952.12,-2426995,-60787033.52,39695647,1220935836.24,137504976,2608427693.059,-97809329,-1387491856.819,51642009,1903902765.499,42329505,1531070388.238,9312504,372832377.261,463002001,11915492155.457,467982046,12217082078.679,188895123,3460916811.799,92991258,2083880375.5,684924,19989918.6,3111919,80776952.12,0,0.0,0,0.0,36139647,1136923643.24,33059489,1056695264.259,3556000,84012193.0,104445487,1551732428.8,42734209,1703478245.499,38407327,1421329667.74,8907800,200424520.0,3922178,109740720.5,-4980045,-301589923.222,95903865,1377036436.299,-2426995,-60787033.52,0,0.0,3080158,80228378.981,-100889487,-1467720235.8,4326882,282148577.759,4985622,90683799.5
17-09-2024,499431229,10830331679.19,526236200,11522386179.784,-26804971,-692054500.594,660371,16137317.65,737770,14159882.6,-77399,1977435.05,46164143,1196948892.168,36524675,1030167997.129,9639468,166780895.039,43257484,1464826354.25,26014582,941530183.74,17242902,523296170.51,342245292,8145665484.902,357813619,8620863580.034,157185937,2684666194.289,168422581,2901522599.75,660371,16137317.65,737770,14159882.6,0,0.0,0,0.0,32967738,929277580.668,35602444,1009865743.439,13196405,267671311.5,922231,20302253.687,42189984,1417460345.85,23909552,863651522.99,1067500,47366008.4,2105030,77878660.75,-15568327,-475198095.132,-11236644,-216856405.461,-77399,1977435.05,0,0.0,-2634706,-80588162.771,12274174,247369057.813,18280432,553808822.86,-1037530,-30512652.35
16-09-2024,441917749,10636121650.692,437725589,10613341000.101,4192160,22780650.591,1825421,56818304.0,1032772,25080158.109,792649,31738145.891,82184173,1554317486.539,89318059,1795024100.088,-7133886,-240706613.549,34575102,1219958615.6,32426025,1033770798.529,2149077,186187817.071,352862459,8774149977.662,348921495,8820838256.499,89055290,1861971673.029,88804094,1792502743.6,1825421,56818304.0,1032772,25080158.109,0,0.0,0,0.0,21079865,704533170.339,28398792,866333580.158,61104308,849784316.2,60919267,928690519.93,30316902,996129795.6,27731588,819379252.829,4258200,223828820.0,4694437,214391545.7,3940964,-46688278.837,251196,69468929.429,792649,31738145.891,0,0.0,-7318927,-161800409.819,185041,-78906203.73,2585314,176750542.771,-436237,9437274.3
13-09-2024,381226735,9124268147.928,376757432,8892814200.376,4469303,231453947.552,605009,20024502.15,582353,15375210.3,22656,4649291.85,18545810,556475578.3,24227092,715902091.757,-5681282,-159426513.457,43179818,1453136625.35,41990495,1529813351.3,1189323,-76676725.95,285830785,7270814704.027,295408567,7487876589.575,95395950,1853453443.9,81348865,1404937610.799,605009,20024502.15,582353,15375210.3,0,0.0,0,0.0,17555810,532591808.3,14672215,477088942.557,990000,23883770.0,9554877,238813149.2,41084018,1317345038.35,34412487,1160435310.4,2095800,135791587.0,7578008,369378040.9,-9577782,-217061885.548,14047085,448515833.101,22656,4649291.85,0,0.0,2883595,55502865.743,-8564877,-214929379.2,6671531,156909727.95,-5482208,-233586453.9
12-09-2024,339759915,8110231850.504,327136423,7992662530.66,12623492,117569319.844,1064869,28203847.45,1219349,32422436.2,-154480,-4218588.75,26621671,894691335.95,28421949,824943920.496,-1800278,69747415.454,38439490,1424241764.499,49108224,1607339911.05,-10668734,-183098146.551,301724984,7364369668.875,297772677,7387176940.208,38034931,745862181.629,29363746,605485590.45,1064869,28203847.45,1219349,32422436.2,0,0.0,0,0.0,23722571,774329690.95,17147188,580226351.616,2899100,120361645.0,11274761,244717568.879,26810090,1107071136.299,37183300,1274148615.55,11629400,317170628.2,11924924,333191295.5,3952307,-22807271.333,8671185,140376591.179,-154480,-4218588.75,0,0.0,6575383,194103339.334,-8375661,-124355923.879,-10373210,-167077479.251,-295524,-16020667.3
11-09-2024,464244650,10284295102.754,462955906,10555409648.199,1288744,-271114545.445,677565,15643199.52,791916,24960318.199,-114351,-9317118.679,30954121,979818089.658,27960168,716258773.129,2993953,263559316.529,40103179,1546291884.7,44271525,1529419537.1,-4168346,16872347.6,407065276,9116372405.215,406792704,9266558804.148,57179374,1167922697.539,56163202,1288850844.05,677565,15643199.52,791916,24960318.199,0,0.0,0,0.0,26034055,754361883.658,22144488,619729318.739,4920066,225456206.0,5815680,96529454.39,36192279,1355468340.1,40240067,1330597387.4,3910900,190823544.6,4031458,198822149.7,272572,-150186398.933,1016172,-120928146.511,-114351,-9317118.679,0,0.0,3889567,134632564.919,-895614,128926751.61,-4047788,24870952.7,-120558,-7998605.1
10-09-2024,553886690,12937956650.719,533769143,12576959446.64,20117547,360997204.079,1568828,42565672.05,851655,21933922.89,717173,20631749.16,49476712,1219815711.0,49441561,1193364180.938,35151,26451530.062,31854636,1369419963.449,52724507,1777500446.749,-20869871,-408080483.3,479331623,11611977580.478,457945012,11224735377.091,74555067,1325979070.239,75824131,1352224069.55,1568828,42565672.05,851655,21933922.89,0,0.0,0,0.0,39869712,1046421911.0,40772428,1053661226.448,9607000,173393800.0,8669133,139702954.49,27418136,1204728859.449,48619204,1605363496.549,4436500,164691104.0,4105303,172136950.2,21386611,387242203.387,-1269064,-26244999.311,717173,20631749.16,0,0.0,-902716,-7239315.448,937867,33690845.51,-21201068,-400634637.1,331197,-7445846.2
09-09-2024,397563996,9571370515.6,369431457,8692010168.817,28132539,879360346.783,1623346,42730999.1,2010551,60077771.71,-387205,-17346772.61,29322867,905094114.34,44184247,1301523043.106,-14861380,-396428928.766,34512969,1158819642.85,47396923,1624404288.25,-12883954,-465584645.4,344799608,8471393425.751,321486806,7736766843.015,52764388,1099977089.849,47944651,955243325.8,1623346,42730999.1,1725551,57156521.71,0,0.0,285000,2921250.0,26458367,847264289.34,36904210,1105205984.056,2864500,57829825.0,7280037,196317059.05,26434869,909641189.85,39199623,1371900555.25,8078100,249178453.0,8197300,252503733.0,23312802,734626582.736,4819737,144733764.049,-102205,-14425522.61,-285000,-2921250.0,-10445843,-257941694.716,-4415537,-138487234.05,-12764754,-462259365.4,-119200,-3325280.0
06-09-2024,457859698,11276633306.542,471446264,11883292347.724,-13586566,-606659041.182,900196,16968474.4,1254640,40899721.85,-354444,-23931247.45,40342841,1277015541.66,31260656,903483547.579,9082185,373531994.081,92792156,2887425108.349,87933331,2630366813.799,4858825,257058294.55,385801598,9302110969.223,408568047,10308837782.174,72058100,1974522337.319,62878217,1574454565.55,900196,16968474.4,1254640,40899721.85,0,0.0,0,0.0,39456395,1233373466.32,30593727,870655698.469,886446,43642075.339,666929,32827849.11,43579238,1640662375.149,29321013,972722082.599,49212918,1246762733.2,58612318,1657644731.2,-22766449,-1006726812.951,9179883,400067771.769,-354444,-23931247.45,0,0.0,8862668,362717767.851,219517,10814226.229,14258225,667940292.55,-9399400,-410881998.0
05-09-2024,487346633,12862550607.986,462391251,12176383478.494,24955382,686167129.492,1018736,25258600.0,1049784,26694527.22,-31048,-1435927.22,29798885,943732233.499,32050998,943719550.966,-2252113,12682.533,90049056,2720142285.56,112721277,3404886170.37,-22672221,-684743884.81,474365285,12517777396.631,451006753,11862028624.774,12981348,344773211.359,11384498,314354853.719,1018736,25258600.0,969784,24958527.22,0,0.0,80000,1736000.0,28181882,925368855.2,29077511,899962700.428,1617003,18363378.299,2973487,43756850.538,33447768,1318535351.76,55959623,1999990351.17,56601288,1401606933.8,56761654,1404895819.2,23358532,655748771.857,1596850,30418357.64,48952,300072.78,-80000,-1736000.0,-895629,25406154.772,-1356484,-25393472.239,-22511855,-681454999.41,-160366,-3288885.4
04-09-2024,527216225,13042570859.542,491934611,12030023969.362,35281614,1012546890.18,991441,24400050.0,1542312,47202305.18,-550871,-22802255.18,34029643,1057028592.379,44346289,1295943266.647,-10316646,-238914674.268,44699330,1569400587.4,69113427,2320230548.129,-24414097,-750829960.729,487037522,11809131056.47,446578958,10688042317.511,40178703,1233439803.07,45355653,1341981651.849,991441,24400050.0,1542312,47202305.18,0,0.0,0,0.0,27727646,908592118.099,43341486,1263058708.997,6301997,148436474.279,1004803,32884557.65,30928430,991880818.2,55222283,1735700711.079,13770900,577519769.2,13891144,584529837.05,40458564,1121088738.959,-5176950,-108541848.779,-550871,-22802255.18,0,0.0,-15613840,-354466590.898,5297194,115551916.629,-24293853,-743819892.879,-120244,-7010067.85
30-08-2024,415694911,9886168485.281,461282438,11377922114.994,-45587527,-1491753629.713,1007058,23963038.55,849025,24633721.75,158033,-670683.2,73025960,2045726647.548,22630609,619127888.49,50395351,1426598759.058,44163338,1541939066.299,49129195,1476113512.449,-4965857,65825553.85,391315014,9261129883.84,408197860,10117165991.223,24379897,625038601.44,53084578,1260756123.77,1007058,23963038.55,849025,24633721.75,0,0.0,0,0.0,42599017,1371192064.467,18308347,539588527.74,30426943,674534583.08,4322262,79539360.75,38154438,1436438369.299,45720295,1411335115.449,6008900,105500697.0,3408900,64778397.0,-16882846,-856036107.383,-28704681,-635717522.33,158033,-670683.2,0,0.0,24290670,831603536.727,26104681,594995222.33,-7565857,25103253.85,2600000,40722300.0
29-08-2024,495087055,10967816309.114,479899298,10943051273.545,15187757,24765035.569,1101173,31051181.65,1923029,47631058.31,-821856,-16579876.66,44676716,1239764123.2,42295133,1148615208.46,2381583,91148914.74,42566288,1754982628.2,59313772,1854316701.85,-16747484,-99334073.65,454304226,10244430005.407,442991894,10278321695.354,40782829,723386303.708,36907404,664729578.19,1101173,31051181.65,1590140,38564275.31,0,0.0,332889,9066783.0,43827848,1208149581.91,38375843,1069293240.4,848868,31614541.29,3919290,79321968.059,31323920,1211636911.0,47599290,1309088468.9,11242368,543345717.2,11714482,545228232.949,11312332,-33891689.947,3875425,58656725.518,-488967,-7513093.66,-332889,-9066783.0,5452005,138856341.51,-3070422,-47707426.769,-16275370,-97451557.9,-472114,-1882515.749
28-08-2024,607681296,14004673091.291,586721598,13631103149.117,20959698,373569942.174,1233261,30245663.6,579367,17565839.3,653894,12679824.3,31449296,896062092.9,38574151,1156744315.167,-7124855,-260682222.267,39076849,1379570086.9,53565586,1505137631.1,-14488737,-125567544.2,562640753,12893516932.879,544014307,12543333466.087,45040543,1111156158.408,42707291,1087769683.029,1233261,30245663.6,579367,17565839.3,0,0.0,0,0.0,27926788,823583327.06,33496669,1083955610.849,3522508,72478765.84,5077482,72788704.319,28185549,1086611332.9,41896008,1189102340.2,10891300,292958754.0,11669578,316035290.9,18626446,350183466.792,2333252,23386475.379,653894,12679824.3,0,0.0,-5569881,-260372283.789,-1554974,-309938.479,-13710459,-102491007.3,-778278,-23076536.9
27-08-2024,523983399,13541237715.163,507968346,13573057721.217,16015053,-31820006.054,1165212,34753481.95,1677082,40131141.25,-511870,-5377659.3,52473473,1375441950.18,50215572,1101487785.41,2257901,273954164.77,31721700,1207876020.0,49482784,1444632519.418,-17761084,-236756499.418,476876406,12239188788.362,475202716,12489410088.316,47106993,1302048926.798,32765630,1083647632.9,1065212,29683481.95,1677082,40131141.25,100000,5070000.0,0,0.0,31338001,993718293.06,22923029,699476050.49,21135472,381723657.118,27292543,402011734.92,29223600,1133509305.0,38700392,1167082588.317,2498100,74366715.0,10782392,277549931.1,1673690,-250221299.954,14341363,218401293.898,-611870,-10447659.3,100000,5070000.0,8414972,294242242.57,-6157071,-20288077.802,-9476792,-33573283.317,-8284292,-203183216.1
26-08-2024,634461908,15486761541.814,618270832,15407867206.401,16191076,78894335.413,1718685,51603366.75,1833602,56291904.85,-114917,-4688538.1,52096290,1394358196.959,44210095,1083185908.37,7886195,311172288.589,38997005,1343408557.299,62959359,1728786643.198,-23962354,-385378085.899,573144976,14232228864.234,558436929,14094635086.45,61316932,1254532677.579,59833903,1313232119.95,1668685,49288366.75,1473602,52932844.85,50000,2315000.0,360000,3359060.0,34078512,1064679862.559,26669629,827769411.49,18017778,329678334.4,17540466,255416496.88,35056505,1214292036.699,57368518,1585151787.448,3940500,129116520.6,5590841,143634855.75,14708047,137593777.784,1483029,-58699442.371,195083,-3644478.1,-310000,-1044060.0,7408883,236910451.069,477312,74261837.52,-22312013,-370859750.749,-1650341,-14518335.15
